addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x02010f6c	DIVERGED	arm9	_ZN8dActor_c11AfterRenderEj	function	_ZN5Actor11AfterRenderEj	function	class-rename	_ZN8dActor_c11AfterRenderEj	
0x02010f78	DIVERGED	arm9	_ZN8dActor_c12BeforeRenderEv	function	_ZN5Actor12BeforeRenderEv	function	class-rename	_ZN8dActor_c12BeforeRenderEv	
0x02010fc8	DIVERGED	arm9	_ZN8dActor_c13AfterBehaviorEj	function	_ZN5Actor13AfterBehaviorEj	function	class-rename	_ZN8dActor_c13AfterBehaviorEj	
0x02010fd4	DIVERGED	arm9	_ZN8dActor_c14BeforeBehaviorEv	function	_ZN5Actor14BeforeBehaviorEv	function	class-rename	_ZN8dActor_c14BeforeBehaviorEv	
0x02011214	DIVERGED	arm9	_ZN8dActor_c21AfterCleanupResourcesEj	function	_ZN5Actor21AfterCleanupResourcesEj	function	class-rename	_ZN8dActor_c21AfterCleanupResourcesEj	
0x02011220	DIVERGED	arm9	_ZN8dActor_c22BeforeCleanupResourcesEv	function	_ZN5Actor22BeforeCleanupResourcesEv	function	class-rename	_ZN8dActor_c22BeforeCleanupResourcesEv	
0x02011244	DIVERGED	arm9	_ZN8dActor_c18AfterInitResourcesEj	function	_ZN5Actor18AfterInitResourcesEj	function	class-rename	_ZN8dActor_c18AfterInitResourcesEj	
0x02011268	DIVERGED	arm9	_ZN8dActor_c19BeforeInitResourcesEv	function	_ZN5Actor19BeforeInitResourcesEv	function	class-rename	_ZN8dActor_c19BeforeInitResourcesEv	
0x020112c8	DIVERGED	arm9	_ZN8dActor_cD2Ev	function	_ZN5ActorD1Ev	function	class-rename+dtor-variant	_ZN8dActor_cD2Ev	
0x02011314	DIVERGED	arm9	_ZN8dActor_cD0Ev	function	_ZN5ActorD0Ev	function	class-rename	_ZN8dActor_cD0Ev	
0x02011374	DIVERGED	arm9	_ZN8dActor_cD1Ev	function	_ZN5ActorD2Ev	function	class-rename+dtor-variant	_ZN8dActor_cD1Ev	
0x020113c0	DIVERGED	arm9	_ZN8dActor_cC1Ev	function	_ZN5ActorC1Ev	function	class-rename	_ZN8dActor_cC1Ev	
0x0201150c	DIVERGED	arm9	_ZN8dActor_cC2Ev	function	_ZN5ActorC2Ev	function	class-rename	_ZN8dActor_cC2Ev	
